intersection_id,timestamp,direction,vehicle_count,city
INT_001,2026-03-07 00:00:00,N,14,Metroville
INT_001,2026-03-07 00:00:00,S,16,Metroville
INT_001,2026-03-07 00:00:00,E,9,Metroville
INT_001,2026-03-07 00:00:00,W,16,Metroville
INT_001,2026-03-07 01:00:00,N,15,Metroville
INT_001,2026-03-07 01:00:00,S,6,Metroville
INT_001,2026-03-07 01:00:00,E,18,Metroville
INT_001,2026-03-07 01:00:00,W,7,Metroville
INT_001,2026-03-07 02:00:00,N,7,Metroville
INT_001,2026-03-07 02:00:00,S,10,Metroville
INT_001,2026-03-07 02:00:00,E,17,Metroville
INT_001,2026-03-07 02:00:00,W,14,Metroville
INT_001,2026-03-07 03:00:00,N,15,Metroville
INT_001,2026-03-07 03:00:00,S,9,Metroville
INT_001,2026-03-07 03:00:00,E,15,Metroville
INT_001,2026-03-07 03:00:00,W,11,Metroville
INT_001,2026-03-07 04:00:00,N,12,Metroville
INT_001,2026-03-07 04:00:00,S,13,Metroville
INT_001,2026-03-07 04:00:00,E,18,Metroville
INT_001,2026-03-07 04:00:00,W,17,Metroville
INT_001,2026-03-07 05:00:00,N,9,Metroville
INT_001,2026-03-07 05:00:00,S,8,Metroville
INT_001,2026-03-07 05:00:00,E,13,Metroville
INT_001,2026-03-07 05:00:00,W,10,Metroville
INT_001,2026-03-07 06:00:00,N,32,Metroville
INT_001,2026-03-07 06:00:00,S,33,Metroville
INT_001,2026-03-07 06:00:00,E,41,Metroville
INT_001,2026-03-07 06:00:00,W,29,Metroville
INT_001,2026-03-07 07:00:00,N,30,Metroville
INT_001,2026-03-07 07:00:00,S,32,Metroville
INT_001,2026-03-07 07:00:00,E,38,Metroville
INT_001,2026-03-07 07:00:00,W,38,Metroville
INT_001,2026-03-07 08:00:00,N,39,Metroville
INT_001,2026-03-07 08:00:00,S,34,Metroville
INT_001,2026-03-07 08:00:00,E,33,Metroville
INT_001,2026-03-07 08:00:00,W,38,Metroville
INT_001,2026-03-07 09:00:00,N,36,Metroville
INT_001,2026-03-07 09:00:00,S,31,Metroville
INT_001,2026-03-07 09:00:00,E,40,Metroville
INT_001,2026-03-07 09:00:00,W,38,Metroville
INT_001,2026-03-07 10:00:00,N,23,Metroville
